CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY,CAPTION_ID,CAPTION_EN,Image_Path
Data 13 Batik Tiepuk (Larung Sembonyo),Trenggalek,Larung Sembonyo,Kebudayaan (Larungsaji) // Flora (Bunga...),"Biru tua, tosca",Tulis,Katun,Sintetis,Non-geometris,"Batik Sedekah Bumi Prigi menggambarkan ritual syukur masyarakat pesisir melalui motif ombak, perahu, dan hasil laut. Pola harmonis melambangkan kebersamaan dan doa untuk kesejahteraan, sementara warna warna biru hitam mencerminkan keseimbangan antara manusia, alam, dan tradisi yang lestari.","Larung Sembonyo merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah biru tua dan tosca, membentuk motif utama kebudayaan larungsaji dan flora bunga.... Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Batik Sedekah Bumi Prigi menggambarkan ritual syukur masyarakat pesisir melalui motif ombak, perahu, dan hasil laut. Pola harmonis melambangkan kebersamaan dan doa untuk kesejahteraan, sementara warna warna biru hitam mencerminkan keseimbangan antara manusia, alam, dan tradisi yang lestari.","The batik fabric features the Trenggalek motif, characterized by dark blue, turquoise motifs. The dominant motifs include larungsaji culture and floral flora.... The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Tiepuk (Larung Sembonyo).jpg
Data 14 Batik Tiepuk (Mutiara Cengkeh),Trenggalek,Mutiara Cengkeh,Flora (Tanaman cengkeh) // Fauna (Mutiara),"Oren, hitam",Cap,Katun,Sintetis,Non-geometris,"Batik Mutiara Cengkeh Trenggalek menghadirkan motif bunga dan biji cengkeh yang melambangkan nilai tinggi dalam kehidupan. Pola elegan mencerminkan kemakmuran dan kejayaan, sementara perpaduan warna hangat menggambarkan kekayaan alam serta warisan budaya yang bernilai","Mutiara Cengkeh merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah oren dan hitam, membentuk motif utama flora tanaman cengkeh dan fauna mutiara. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Batik Mutiara Cengkeh Trenggalek menghadirkan motif bunga dan biji cengkeh yang melambangkan nilai tinggi dalam kehidupan. Pola elegan mencerminkan kemakmuran dan kejayaan, sementara perpaduan warna hangat menggambarkan kekayaan alam serta warisan budaya yang bernilai","The batik fabric features the Trenggalek motif, characterized by orange, black motifs. The dominant motifs include clove plant flora and pearl fauna. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Tiepuk (Mutiara Cengkeh).jpg
Data 15 Batik Tiepuk (Kripik Tempe),Trenggalek,Kripik Tempe,Makanan (Kripik tempe) // Flora (Tanaman truntum) // Kebudayaan (Motif parang),"Hijau, kuning",Cap,Katun,Sintetis,Non-geometris,"Batik Kripik Tempe Trenggalek menghadirkan motif butiran kedelai dan pola renyah yang terinspirasi dari makanan khas daerah. Desain unik ini melambangkan kreativitas, ketekunan, dan kearifan lokal kota Trenggalek","Kripik Tempe merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah hijau dan kuning, membentuk motif utama makanan kripik tempe, flora tanaman truntum dan kebudayaan motif parang. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Batik Kripik Tempe Trenggalek menghadirkan motif butiran kedelai dan pola renyah yang terinspirasi dari makanan khas daerah. Desain unik ini melambangkan kreativitas, ketekunan, dan kearifan lokal kota Trenggalek","The batik fabric features the Trenggalek motif, characterized by green, yellow motifs. The dominant motifs include tempeh chips food, truntum plant flora and machete motif culture. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Tiepuk (Kripik Tempe).jpg
Data 16 Batik Tiepuk (Sidoluhur Bledhak),Trenggalek,Sidoluhur Bledhak,Kebudayaan (Sayap garuda),"Coklat, oren kecoklatan",Tulis,Katun,Alam,Geometris,"Motif sidoluhur bledhak terinspirasi dari nilai spiritual melambangkan perjalanan menuju kehidupan penuh kesucian. Pola harmonis mencerminkan ketulusan dan kebijaksanaan, sementara warna lembut menggambarkan harapan untuk keseimbangan, kedamaian, dan makna hidup yang luhur.","Sidoluhur Bledhak merupakan mahakarya kelas Batik Trenggalek dengan tata letak geometris. Warna yang digunakan adalah coklat dan oren kecoklatan, membentuk motif utama kebudayaan sayap garuda. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Motif sidoluhur bledhak terinspirasi dari nilai spiritual melambangkan perjalanan menuju kehidupan penuh kesucian. Pola harmonis mencerminkan ketulusan dan kebijaksanaan, sementara warna lembut menggambarkan harapan untuk keseimbangan, kedamaian, dan makna hidup yang luhur.","The batik fabric features the Trenggalek motif, characterized by chocolate, brownish orange motifs. The dominant motifs include garuda wings culture. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 16 Batik Tiepuk (Sidoluhur Bledhak).jpg
Data 17 Batik Tiepuk (Sisik Ikan Prigi),Trenggalek,Sisik Ikan Prigi,Flora (Bunga teratai) // Fauna (Ikan prigi),"Hitam, oren",Cap,Katun,Alam,Non-geometris,"Menghadirkan motif sisik ikan yang tersusun rapi, melambangkan ketahanan dan keberlimpahan laut Trenggalek. Pola berulang mencerminkan keseimbangan alam dan kerja keras nelayan, sementara perpaduan warna menggambarkan kejernihan air serta kekayaan bahari yang lestari.","Sisik Ikan Prigi merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah hitam dan oren, membentuk motif utama flora bunga teratai dan fauna ikan prigi. Dibuat dengan teknik cap menggunakan pewarna alam pada kain Katun. Secara filosofis, Menghadirkan motif sisik ikan yang tersusun rapi, melambangkan ketahanan dan keberlimpahan laut Trenggalek. Pola berulang mencerminkan keseimbangan alam dan kerja keras nelayan, sementara perpaduan warna menggambarkan kejernihan air serta kekayaan bahari yang lestari.","The batik fabric features the Trenggalek motif, characterized by black, orange motifs. The dominant motifs include lotus flower flora and native fish fauna. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 17 Batik Tiepuk (Sisik Ikan Prigi).jpg
Data 18 Batik Tiepuk (Sulur Gringsing),Trenggalek,Sulur Gringsing,"Flora (Bunga mlati, mawar) // Fauna (Kupu-kupu)","Coklat, moss green",Tulis,Katun,Alam,Non-geometris,"Batik Gringsing Trenggalek menghadirkan keindahan motif nusantara dengan pola khas yang melambangkan perlindungan dan kekuatan. Simetri motif menciptakan harmoni, mencerminkan kebijaksanaan budaya serta warisan leluhur yang terus dijaga.","Sulur Gringsing merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah coklat dan moss green, membentuk motif utama flora bunga mlati, mawar dan fauna kupu-kupu. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Batik Gringsing Trenggalek menghadirkan keindahan motif nusantara dengan pola khas yang melambangkan perlindungan dan kekuatan. Simetri motif menciptakan harmoni, mencerminkan kebijaksanaan budaya serta warisan leluhur yang terus dijaga.","The batik fabric features the Trenggalek motif, characterized by chocolate, moss green motifs. The dominant motifs include flora, mlati flowers, roses and butterfly fauna. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 18 Batik Tiepuk (Sulur Gringsing).jpg
Data 19 Batik Tiepuk (Parang Kawung Cengkeh),Trenggalek,Parang Kawung Cengkeh,Flora (Tanaman cengkeh),"Coklat, hitam",Tulis,Katun,Sogan,Non-geometris,"Memadukan motif kawung yang melambangkan keseimbangan dengan bunga cengkeh sebagai simbol ketulusan. Pola terjalin mencerminkan eratnya ikatan persahabatan, sementara warna hangat menggambarkan keharmonisan, kebersamaan, dan nilai luhur dalam kehidupan sosial masyarakat.","Parang Kawung Cengkeh merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah coklat dan hitam, membentuk motif utama flora tanaman cengkeh. Dibuat dengan teknik tulis menggunakan pewarna sogan pada kain Katun. Secara filosofis, Memadukan motif kawung yang melambangkan keseimbangan dengan bunga cengkeh sebagai simbol ketulusan. Pola terjalin mencerminkan eratnya ikatan persahabatan, sementara warna hangat menggambarkan keharmonisan, kebersamaan, dan nilai luhur dalam kehidupan sosial masyarakat.","The batik fabric features the Trenggalek motif, characterized by chocolate, black motifs. The dominant motifs include clove plant flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 19 Batik Tiepuk (Parang Kawung Cengkeh).jpg
Data 20 Batik Tiepuk (Junjung Derajat Mahkota Cengkeh),Trenggalek,Junjung Derajat Mahkota Cengkeh,Flora (Tanaman cengkeh) // Kebudayaan (Motif kawung),"Merah tua, pink",Tulis lasem,Katun,Sogan,Non-geometris,"Menggambarkan kejayaan dan kesejahteraan melalui motif cengkeh yang melambangkan kekayaan alam. Pola elegan mencerminkan perjuangan mengangkat derajat manusia, sementara warna harmonis merepresentasikan keseimbangan antara kerja keras, keberkahan, dan keluhuran hidup.","Junjung Derajat Mahkota Cengkeh merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah merah tua dan pink, membentuk motif utama flora tanaman cengkeh dan kebudayaan motif kawung. Dibuat dengan teknik tulis lasem menggunakan pewarna sogan pada kain Katun. Secara filosofis, Menggambarkan kejayaan dan kesejahteraan melalui motif cengkeh yang melambangkan kekayaan alam. Pola elegan mencerminkan perjuangan mengangkat derajat manusia, sementara warna harmonis merepresentasikan keseimbangan antara kerja keras, keberkahan, dan keluhuran hidup.","The batik fabric features the Trenggalek motif, characterized by dark red, pink motifs. The dominant motifs include clove plant flora and kawung motif culture. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 20 Batik Tiepuk (Junjung Derajat Mahkota Cengkeh).jpg
Data 21 Batik Tiepuk (Sidoluhur Rawan),Trenggalek,Sidoluhur Rawan,culture (Air) // Flora (Bunga...),"Hitam, moss green",Tulis,Katun,Alam,Geometris,"Harmoni antara daratan, rawa, dan lautan melalui motif gelombang, sulur tanaman, dan kontur tanah. Pola menyatu mencerminkan keseimbangan alam, sementara perpaduan warna alami merepresentasikan keberagaman ekosistem dan kehidupan yang dinamis.","Sidoluhur Rawan merupakan mahakarya kelas Batik Trenggalek dengan tata letak geometris. Warna yang digunakan adalah hitam dan moss green, membentuk motif utama culture air dan flora bunga.... Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Harmoni antara daratan, rawa, dan lautan melalui motif gelombang, sulur tanaman, dan kontur tanah. Pola menyatu mencerminkan keseimbangan alam, sementara perpaduan warna alami merepresentasikan keberagaman ekosistem dan kehidupan yang dinamis.","The batik fabric features the Trenggalek motif, characterized by black, moss green motifs. The dominant motifs include water culture and floral flora.... The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 21 Batik Tiepuk (Sidoluhur Rawan).jpg
Data 22 Batik Tiepuk (Sepak Segong),Trenggalek,Sepak Segong,Fauna (Burung kalkun) // Flora (Tanaman cengkeh) // Kebudayaan (motif parang),"Coklat muda, hitam",Tulis,Katun,Alam,Geometris,"Menggambarkan perjalanan hidup manusia yang melambangkan usaha dan pertumbuhan. Pola bunga di puncak mencerminkan pencapaian dan kesempurnaan, menciptakan harmoni antara perjuangan, harapan, dan keberhasilan dalam kehidupan.","Sepak Segong merupakan mahakarya kelas Batik Trenggalek dengan tata letak geometris. Warna yang digunakan adalah coklat muda dan hitam, membentuk motif utama fauna burung kalkun, flora tanaman cengkeh dan kebudayaan motif parang. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Menggambarkan perjalanan hidup manusia yang melambangkan usaha dan pertumbuhan. Pola bunga di puncak mencerminkan pencapaian dan kesempurnaan, menciptakan harmoni antara perjuangan, harapan, dan keberhasilan dalam kehidupan.","The batik fabric features the Trenggalek motif, characterized by light brown, black motifs. The dominant motifs include turkey bird fauna, clove plant flora and machete motif culture. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 22 Batik Tiepuk (Sepak Segong).jpg
Data 23 Batik Tiepuk (Sedapur Bambu),Trenggalek,Sedapur Bambu/Pring Sedapur,Flora (Pohon bambu),"Hitam, moss green",Tulis,Katun,Alam,Non-geometris,"Sedapur Bambu menggambarkan kesatuan dan keteraturan melalui motif pohon bambu yang kokoh dan rapi. Pola harmonis mencerminkan keteguhan, keseimbangan, serta semangat kebersamaan dalam kehidupan yang selaras dengan alam dan budaya.","Sedapur Bambu/Pring Sedapur merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah hitam dan moss green, membentuk motif utama flora pohon bambu. Dibuat dengan teknik tulis menggunakan pewarna alam pada kain Katun. Secara filosofis, Sedapur Bambu menggambarkan kesatuan dan keteraturan melalui motif pohon bambu yang kokoh dan rapi. Pola harmonis mencerminkan keteguhan, keseimbangan, serta semangat kebersamaan dalam kehidupan yang selaras dengan alam dan budaya.","The batik fabric features the Trenggalek motif, characterized by black, moss green motifs. The dominant motifs include bamboo tree flora. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 23 Batik Tiepuk (Sedapur Bambu).jpg
Data 24 Batik Tiepuk (Larung Sembonyo),Trenggalek,Larung Sembonyo,Kebudayaan (Larungsaji) // Flora (Bunga...),"Oren, kuning",Tulis,Katun,Sintetis,Non-geometris,"Batik Sedekah Bumi Prigi menggambarkan ritual syukur masyarakat pesisir melalui motif ombak, perahu, dan hasil laut. Pola dinamis melambangkan doa, kebersamaan, dan harapan akan keberkahan, mencerminkan hubungan harmonis antara manusia, alam, dan tradisi leluhur","Larung Sembonyo merupakan mahakarya kelas Batik Trenggalek dengan tata letak non-geometris. Warna yang digunakan adalah oren dan kuning, membentuk motif utama kebudayaan larungsaji dan flora bunga.... Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun. Secara filosofis, Batik Sedekah Bumi Prigi menggambarkan ritual syukur masyarakat pesisir melalui motif ombak, perahu, dan hasil laut. Pola dinamis melambangkan doa, kebersamaan, dan harapan akan keberkahan, mencerminkan hubungan harmonis antara manusia, alam, dan tradisi leluhur","The batik fabric features the Trenggalek motif, characterized by orange, yellow motifs. The dominant motifs include larungsaji culture and floral flora.... The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 24 Batik Tiepuk (Larung Sembonyo).jpg
