CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY
Mulifah Data 2 Relief Gapura Sendang Dhuwur,Lamongan,Relief Gapuro Sendang Duwur,CULTURE (Gapuro Sendang Duwur/ Gapuro Sendang Duwur/ ガプロ・スンダン・ドゥウル ),"Cokelat Kehijauan/ Greenish Brown / オリーブブラウン,
Krem/ Cream/　ベージュ",Tulis,Primisima,Alam (Daun Mangga dan Buah Jolawe),Non Geometris,Suasana makam Sendang Duwur /The atmosphere around Sendang Duwur tomb./ センダン・ドゥウル墓地の雰囲気
Mulifah Data 3 Putihan Pagi Sore (Burung-Kipas) ,Lamongan,Putihan Pagi Sore (Burung dan Kipas),FAUNA (Burung/ Bird/ 鳥) // CULTURE (Kipas/ Folding Fan/ 手持ち扇 ),"Hitam/ Black/ 黒い,
Merah/ Red/ 赤い,
Putih/ White/ 白い",Tulis,Primisima,Sintetis (Naptol),Non Geometris,"Siklus kehidupan yang disimbolisasikan dengan dualitas siang dan malam, terang dan gelap./ The cycle of life symbolized by the duality of day and night, light and darkness/ 昼と夜、光と闇の二元性で象徴される生命の循環。"
Mulifah Data 4 Kawung Singo Mengkok,Lamongan,Kawung Singo Mengkok,CULTURE (Singo Mengkok/ Singo Mengkok/ シンゴ・メンコック),"Hitam/ Black/ 黒い,
Merah Hati / Maroon / エンジ色",Tulis,Prima Juantiu,Sintetis (Naptol),Non Geometris,"Sikap keberanian yang dilandasi nilai kemurnian, kesucian, dan kesempurnaan./ A courageous attitude based on the values of purity, holiness, and perfection./ 純粋さ、清らかさ、そして完全さの価値に支えられた勇気の姿勢。"
Mulifah Data 5 Sekar Jagad Sendang,Lamongan,Sekar Jagad Sendang,FLORA (Sekar Jagad/ Sekar Jagad / セカール・ジャガッド) // CULTURE (Sendang/ Sendang/ )センダン）,"Hijau/ Green/ 緑,
Hitam/ Black/ 黒い",Tulis,Primisima,Sintetis (Remasol),Non Geometris,Nilai-nilai kearifan lokal yang berusaha dilestarikan./ Values of local wisdom that are being maintained./ 地域の知恵を守り続けようとする価値。
Mulifah Data 6 Liris Bandeng Lele,Lamongan,Liris Bandeng Lele,FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ),"Hitam/ Black/ 黒い,
Oren/ Orange/ オレンジ,
Cokelat/ Brown/ 茶色",Tulis,Prima Juantiu,Sintetis (Naptol),Geometris,Semangat untuk selalu bertumbuh secara berkelanjutan sebagai pandangan dan filosofi kehidupan./ The spirit to continuously grow sustainably as a perspective and philosophy of life./ 持続的に成長し続ける精神を人生の見方と哲学とする。
Mulifah Data 7 Pring Sedapur (Serumpun) ,Lamongan,Pring sedapur (Serumpun),FLORA (Pring/ Bamboo/竹) ,"Hitam/ Black/ 黒い,
Cokelat/ Brown/ 茶色",Tulis,Juantiu,Sintetis (Remasol),Non Geometris,"Sikap kesalingan antar elemen di suatu lingkungan, saling mendukung, selaras, dan memadu./ The attitude of mutuality among elements in an environment—supporting one another, harmonious, and united./ ある環境の要素同士の相互性の姿勢――互いに支え合い、調和し、溶け合う。"
Mulifah Data 8 Modang Gendagan (Api x Membara),Lamongan,Modang Gendangan (Api yang Membara),FLORA (Modang/ Modang/ モダン) // CULTURE (Gendangan/ Gendangan/ ゲンダンガン ),"Merah Hati / Maroon / エンジ色,
Putih/ White/ 白い,
Hitam/ Black/ 黒い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,"Simbol Kemakmuran, kesuburan, dan perlindungan yang dijaga tetap menyala./ A symbol of prosperity, fertility, and protection that is kept alight./ 繁栄、豊穣、そして守護の象徴が絶えず灯され続けている。"
Mulifah Data 9 Biota Laut ,Lamongan,Biota Laut,FAUNA (Biota Laut/ Sea Life/ 海の生物),"Hitam/ Black/ 黒い,
Oren/ Orange/ オレンジ,
Cokelat/ Brown/ 茶色",Tulis,Lampion,Sintetis (Naptol),Non Geometris,"Hendaknya kelestarian lingkungan tidak hanya memikirkan yang di darat, tetapi juga yang di laut./ Environmental conservation should not only consider what is on land, but also what is in the sea./ 環境を守るときは、陸だけでなく海のことも考えなければならない。"
Mulifah Data 10 Singo Mengkok ,Lamongan,Singo Mengkok,CULTURE (Singo Mengkok/ Singo Mengkok/ シンゴ・メンコック),"Merah/ Red/ 赤い,
Hitam/ Black/ 黒い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,"Bagaimana kearifan menggunakan kekuatan itu, kapan baiknya ditunjukkan atau dikontestasikan dan ada saatnya untuk disembunyikan. Disimbolkan melalui motif singa duduk (mengkok)./ The wisdom lies in knowing how to use that power—when it should be displayed, when it should be contested, and when it should be hidden. This is symbolized through the motif of the seated lion (Mengkok)./ その力をどう使うか――示すべき時、争うべき時、そして隠すべき時。その知恵が、座る獅子（メンコック）の文様によって象徴されています。"
Mulifah Data 11 Selempang Bandeng Lele,Lamongan,Selempang Bandeng Lele,FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ),"Merah/ Red/ 赤い,
Hitam/ Black/ 黒い,
Putih/ White/ 白い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,Tentang tantangan hidup yang selalu hadir silih berganti/ About the challenges of life that constantly come and go/ 絶え間なく訪れる人生の試練について
Mulifah Data 12 Putihan Merak,Lamongan,Putihan Merak,FAUNA (Merak/ Peacock/ 孔雀),"Merah/ Red/ 赤い,
Hitam/ Black/ 黒い,
Putih/ White/ 白い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,"Masyarakat yang mempunyai value, kharismatik, pesona yang didasari nilai kemurnian./ A community with values, charisma, and charm based on purity./ 価値観を持ち、カリスマ性と純粋さに根ざした魅力を備えた社会。"
Mulifah Data 13 Burung Prenjak Melati,Lamongan,Burung Prenjak Melati,FLORA (Melati/ Jasmine/ ジャスミン) // FAUNA (Burung Prenjak/ Tailorbird/ ウシロトリ),"Merah/ Red/ 赤い, Biru/ Blue/ 青い, Putih/ White/ 白い",Tulis,Primisima,Alam (Akar Mengkudu)・自然（八重山青木の根・,Non Geometris,Tentang doa atau hajat memanggil keberuntungan/ About prayers or wishes to bring good fortune/ 祈りや願いが幸運を呼び寄せることについて
FC Data 1 Kupu Mlaten,Lamongan,Kupu Mlaten,FAUNA (Kupu/ Butterfly/ 蝶）// FLORA (Mlaten/ Jasmine/ ジャスミン),"Oren/ Orange/ オレンジ,
Merah/ Red/ 赤い,
Hitam/ Black/ 黒い
Putih/ White/ 白い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,"Doa yang sudah dikabulkan oleh Tuhan,"
FC Data 2 Bandeng Lele Krisan KLecubung,Lamongan,Bandeng Lele Krisan Kecubung,FAUNA (Bandeng Lele/ Milkfish and Catfish/ ミルクフィッシュとナマズ) // FLORA (Krisan Kecubung/ Chrysanthemum and Datura/ キルとケチュブン）,"Hitam/ Black/ 黒い,
Merah/ Red/ 赤い",Tulis,Juantiu,Sintetis (Remasol),Non Geometris,Keseimbangan flora dan fauna menjadi gaya hidup sehat secara jasmani dan rohani.
FC Data 3 Bandeng Lele Kawung Mlaten,Lamongan,Bandeng Lele Kawung Mlaten,FAUNA (Bandeng Lele/ Milkfish and Catfish/ ミルクフィッシュとナマズ) // FLORA (Kawung Mlaten/ Palm Seed and Jasmine/ ジャスミン）,"Cokelat/ Brown/ 茶色,
Merah/ Red/ 赤い,
Hitam/ Black/ 黒い,
Putih/ White/ 白い",Tulis,Lampion,Sintetis (Naptol),Non Geometris,Tentang kehidupan dihiasi dengan nilai-nilai luhur sebagai pandangan hidup.
FC Data 4 Selempang Gunungan,Lamongan,Slempang Gunungan,FLORA (Sulur/ Tendrils/ つる) // GEOGRAPHY (Batu Kapur/ Limestone/ 石灰岩) ,"Oren/ Orange/ オレンジ,
Merah/ Red/ 赤い,
Hitam/ Black/ 黒い,
Putih/ White/ 白い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,Terinspirasi dari sumber daya Sendang Duwur tentang hamparan sulur tetumbuhan di atas bebatuan / batu kapur.
FC Data 5 Sulur Sukun,Lamongan,Sulur Sukun,FLORA (Sulur Sukun/ Breadfruit Tendrils/ パンノキのつる),"Putih/ White/ 白い,
Merah/ Red/ 赤い,
Hitam/ Black/ 黒い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,"Upaya memulai proses, merawatnya sampai membuahkan hasil. Bentuk dedikasi tinggi berkehidupan."
FC Data 6 Garudo Parang Melingkar,Lamongan,Garudo Parang Melingkar,FAUNA (Garudo/ Garuda/ ガルーダ) // CULTURE (Parang Melingkar/ Parang Melingkar/ パラングメリンカル),"Merah/ Red/ 赤い,
Hitam/ Black/ 黒い,
Cokelat/ Brown/ 茶色
Putih/ White/ 白い",Tulis,Juantiu,Sintetis (Naptol),Non Geometris,Kisah perjuangan Garudea membebaskan ibunya dari perbudakan dengan begitu gigihnya.
Afiq Jaya_35241420061001_Bandeng Lele Gapuro Lamongan_2025_FAUNA_CULTURE,Lamongan,Bandeng Lele Gapuro Lamongan,FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ) // CULTURE (Gapuro Lamongan/ Gapuro Lamongan),"Hitam/ Black/ 黒い, Cokelat/ Brown/ 茶色
",Tulis,Katun Lampion,Sintetis ( ),Non Geometris,"Menggabungkan ikon ikan bandeng dan lele, yang merupakan simbol kekayaan alam Lamongan, dengan elemen gapuro (gerbang) yang melambangkan pintu masuk menuju kehidupan yang penuh harapan dan kemuliaan."
Afiq Jaya_35241420061002_Gapuro Teratai_2025_FLORA_FAUNA,Lamongan,Gapuro Teratai,FLORA (Teratai/ Lotus/ 蓮) // CULTURE (Gapuro/ Gapuro/ ガプロ),"Biru Kobalt/ Cobalt Blue, Abu-abu/ Grey",Tulis,Katun Primisima,Sintetis (Remasol),Non Geometris,Motif gapuro (gerbang) yang dipadukan dengan bunga teratai melambangkan ketahanan karena mampu tumbuh indah di atas air keruh. Menyimbolkan kemampuan untuk tetap kuat di tengah tantangan hidup dan transisi menuju kehidupan yang lebih baik dan penuh makna.
Afiq Jaya_35241420061003_Gapuro Parang_2024_CULTURE,Lamongan,Gapuro Parang,CULTURE (Gapuro dan Parang/ Gapuro and Parang/ がプロとパラン),"Hitam/ Black/ 黒い, Biru/ Blue/ 青い",Tulis,Katun Primisima,Sintetis (Remasol),Non Geometris,Gapuro dengan motif parang melambangkan kekuatan dan keberanian. Parang adalah motif tradisional yang melambangkan semangat juang dan keteguhan. Motif ini menjelaskan tentang pentingnya keberanian dan keteguhan hati dalam menghadapi tantangan.
Afiq Jaya_35241420061004_Irfan Hakim_2025_FLORA,Lamongan,Irfan Hakim,FLORA (Bunga Ashoka/ Ashoka Flower/ アショカの花 ,"Cokelat/ Brown/ 茶色, Merah/ Red/ 赤い",Tulis,Lampion,Sintetis (Remasol),Non Geometris,Terinspirasi dari batik yang dipakai oleh salah satu public figure Irfan Hakim.
Afiq Jaya_35241420061005_ Anggrek Sulur_2025_FLORA_CULTURE,Lamongan,Anggrek Sulur,FLORA (Anggrek/ Orchid/ 蘭) // CULTURE (Sulur/ Tendrils/ つる),"Biru/ Blue/ 青い, Cokelat Susu/ Light Brown/",Tulis,Primasan Foris,Sintetis (Remasol),Non Geometris,Terinspirasi dari keindahan bunga anggrek dipadukan dengan sulur-sulur tumbuhan.
Afiq Jaya_35241420061006_Bandeng Lele Teratai_2024_FAUNA_FLORA,Lamongan,Bandeng Lele Teratai,FAUNA (Bandeng Lele/ Milkfish and Catfish / ミルクフィッシュとナマズ) // FLORA (Teratai/ Lotus/ 蓮),"Hitam/ Black/ 黒い, Oren/ Orange/ オレンジ",Tulis,Prima Juantiu,Sintetis (Remasol),Non Geometris,"Batik ini terinspirasi dari kehidupan perairan di sekitar Sendang Duwur, di mana ikan bandeng dan lele juga menjadi simbol keseimbangan ekosistem air tawar dan payau.. Teratai melambangkan keteguhan, karena mampu tumbuh indah meski di air keruh sekalipun. Hal ini menggambarkan harmoni antara alam dan kehidupan masyarakat pesisir."
Afiq Jaya_35241420061007_Bandeng Lele Sisik_2025_FAUNA,Lamongan,Bandeng Lele Sisik,FAUNA (Bandeng Lele Sisik/ Milkfish and Catfish's Scale/ ミルクフィッシュとナマズの鱗）,"Merah/ Red/ 赤い, Biru/ Blue/ 青い",Tulis (Pindon),Primisima,Sintetis (Remasol),Non Geometris,"Motif ini mengandung makna tentang pentingnya menjaga diri dari tantangan hidup, seperti sisik yang melindungi ikan dari bahaya. Pembatik menciptakan motif ini sebagai kepekaan terhadap lingkungan pesisir, menggambarkan pengalaman mereka dalam mengamati kehidupan laut."
Afiq Jaya_35241420061008_Singo Mengkok Gagak Siup_2025_CULTURE,Lamongan,Singo Mengkok Gagak Siup,CULTURE (Singo Mengkok Gagak Siup/ Singo Mengkok Gagak Siup/ シンゴ・メンコック・ガガック・シウプ),"Biru/ Blue/ 青い, Cokelat Susu/ Light Brown",Tulis (Pindon),Lampion,Sintetis (Remasol),Non Geometris,"Motif ini terinspirasi dari simbolisme singa (singo) yang melambangkan keberanian dan kekuatan, serta gagak (burung) yang melambangkan kebebasan. ""Mengkok"" merujuk pada sikap kokoh dan teguh, sementara ""siup"" menggambarkan gerakan lincah seperti hembusan angin."
Afiq Jaya_35241420061009_Gapuro Singo Mengkok_2025_CULTURE,Lamongan,Gapuro Singo Mengkok,CULTURE (Gapuro Singo Mengkok/ Gapuro Singo Mengkok/ ガプロ シンゴ・メンコック),"Biru/ Blue/ 青い, Abu-abu/ Grey/ グレー",Tulis (Pindon),Lampion,Sintetis (Remasol),Non Geometris,"Motif ini menggabungkan elemen gapuro, yang melambangkan pintu masuk menuju kemuliaan. Dengan simbol singo mengkok, yang bermakna singa yang membungkuk, mencerminkan manusia yang kuat adalah manusia yang dapat menundukkan hawa nafsunya."
Afiq Jaya_35241420061010_Bunga Sulur Biji Timun_2025_FLORA-CULTURE,Lamongan,Bunga Sulur Biji Timun,FLORA (Bunga dan Timun/ Flower and Cucumber/ 花ときゅうり) // CULTURE (Sulur/ Tendrils/ つる),"Hitam/ Black/ 黒い, Biru/ Blue/ 青い, Cokelat/ Brown/ 茶色",Tulis (Pindon),Primisima,Sintetis (Remasol),Non Geometris,"Motif ini terinspirasi dari keindahan bunga dan sulur tumbuhan yang tumbuh di lingkungan Sendang Duwur, dipadukan dengan bentuk biji timun."
